name_en,name_zh,aliases
Abacavir,阿巴卡韦,
Acetaminophen,对乙酰氨基酚,扑热息痛|Paracetamol
Acyclovir,阿昔洛韦,
Adalimumab,阿达木单抗,
Albuterol,沙丁胺醇,Salbutamol
Alendronate,阿仑膦酸,
Allopurinol,别嘌醇,
Alprazolam,阿普唑仑,
Amantadine,金刚烷胺,
Amiodarone,胺碘酮,
Amitriptyline,阿米替林,
Amlodipine,氨氯地平,
Amoxicillin,阿莫西林,
Amphetamine,苯丙胺,
Anastrozole,阿那曲唑,
Apixaban,阿哌沙班,
Aripiprazole,阿立哌唑,
Aspirin,阿司匹林,
Atenolol,阿替洛尔,
Atorvastatin,阿托伐他汀,
Azathioprine,硫唑嘌呤,
Azithromycin,阿奇霉素,
Baclofen,巴氯芬,
Bicalutamide,比卡鲁胺,
Bisoprolol,比索洛尔,
Bupropion,安非他酮,
Buspirone,丁螺环酮,
Caffeine,咖啡因,
Candesartan,坎地沙坦,
Carbamazepine,卡马西平,
Carvedilol,卡维地洛,
Celecoxib,塞来昔布,
Cetirizine,西替利嗪,
Chlorpromazine,氯丙嗪,
Ciprofloxacin,环丙沙星,
Citalopram,西酞普兰,
Clarithromycin,克拉霉素,
Clindamycin,克林霉素,
Clobazam,氯巴占,
Clonazepam,氯硝西泮,
Clonidine,可乐定,
Clopidogrel,氯吡格雷,
Clozapine,氯氮平,
Codeine,可待因,
Colchicine,秋水仙碱,
Dabigatran,达比加群,
Dapagliflozin,达格列净,
Dexamethasone,地塞米松,
Diazepam,地西泮,安定
Diclofenac,双氯芬酸,
Digoxin,地高辛,
Diltiazem,地尔硫卓,
Diphenhydramine,苯海拉明,
Donepezil,多奈哌齐,
Doxycycline,多西环素,
Duloxetine,度洛西汀,
Empagliflozin,恩格列净,
Enalapril,依那普利,
Enoxaparin,依诺肝素,
Escitalopram,艾司西酞普兰,
Esomeprazole,埃索美拉唑,
Ethanol,乙醇,酒精|Alcohol
Ezetimibe,依折麦布,
Famotidine,法莫替丁,
Felodipine,非洛地平,
Fentanyl,芬太尼,
Finasteride,非那雄胺,
Fluconazole,氟康唑,
Fluoxetine,氟西汀,
Fluticasone,氟替卡松,
Folic acid,叶酸,
Furosemide,呋塞米,
Gabapentin,加巴喷丁,
Gliclazide,格列齐特,
Glimepiride,格列美脲,
Glipizide,格列吡嗪,
Glyburide,格列本脲,Glibenclamide
Grapefruit juice,西柚汁,葡萄柚汁
Haloperidol,氟哌啶醇,
Heparin,肝素,
Hydrochlorothiazide,氢氯噻嗪,
Hydrocodone,氢可酮,
Hydroxychloroquine,羟氯喹,
Ibuprofen,布洛芬,
Imatinib,伊马替尼,
Insulin,胰岛素,
Isoniazid,异烟肼,
Isosorbide mononitrate,单硝酸异山梨酯,
Itraconazole,伊曲康唑,
Ketamine,氯胺酮,
Ketoconazole,酮康唑,
Lamotrigine,拉莫三嗪,
Lansoprazole,兰索拉唑,
Leflunomide,来氟米特,
Levetiracetam,左乙拉西坦,
Levofloxacin,左氧氟沙星,
Levothyroxine,左甲状腺素,
Lidocaine,利多卡因,
Linagliptin,利格列汀,
Lisinopril,赖诺普利,
Lithium,锂盐,碳酸锂
Loperamide,洛哌丁胺,
Loratadine,氯雷他定,
Lorazepam,劳拉西泮,
Losartan,氯沙坦,
Lovastatin,洛伐他汀,
Melatonin,褪黑素,
Meloxicam,美洛昔康,
Memantine,美金刚,
Metformin,二甲双胍,
Methadone,美沙酮,
Methotrexate,甲氨蝶呤,
Methylphenidate,哌甲酯,
Metoclopramide,甲氧氯普胺,
Metoprolol,美托洛尔,
Metronidazole,甲硝唑,
Mirtazapine,米氮平,
Montelukast,孟鲁司特,
Morphine,吗啡,
Naproxen,萘普生,
Nifedipine,硝苯地平,
Nitroglycerin,硝酸甘油,
Olanzapine,奥氮平,
Omeprazole,奥美拉唑,
Ondansetron,昂丹司琼,
Orlistat,奥利司他,
Oxycodone,羟考酮,
Pantoprazole,泮托拉唑,
Paroxetine,帕罗西汀,
Penicillin,青霉素,
Phenytoin,苯妥英,
Pioglitazone,吡格列酮,
Prednisone,泼尼松,
Pregabalin,普瑞巴林,
Propranolol,普萘洛尔,
Quetiapine,喹硫平,
Ramipril,雷米普利,
Ranitidine,雷尼替丁,
Rifampin,利福平,Rifampicin
Risperidone,利培酮,
Rivaroxaban,利伐沙班,
Rosuvastatin,瑞舒伐他汀,
Sertraline,舍曲林,
Sildenafil,西地那非,
Simvastatin,辛伐他汀,
Sitagliptin,西格列汀,
Spironolactone,螺内酯,
Tacrolimus,他克莫司,
Tamoxifen,他莫昔芬,
Tamsulosin,坦索罗辛,
Theophylline,茶碱,
Ticagrelor,替格瑞洛,
Tramadol,曲马多,
Trazodone,曲唑酮,
Valproic acid,丙戊酸,
Valsartan,缬沙坦,
Vancomycin,万古霉素,
Venlafaxine,文拉法辛,
Verapamil,维拉帕米,
Voriconazole,伏立康唑,
Warfarin,华法林,
Zolpidem,唑吡坦,
